"id","email","phone","country_id","name"
"__export__.res_partner_20_57347542","cruiz.dev@ejemplo.com","'+34 699 111 222","","Carlos Ruiz"
"__export__.res_partner_19_bf965e98","ventas@delsur.es","'+34 677 888 999","","Distribuciones del Sur"
"__export__.res_partner_26_ee74ec60","etorres.design@ejemplo.com","'+34 633 222 111","","Elena Torres"
"__export__.res_partner_21_93e4f096","logistica@global.es","'+34 622 333 444","","Global Logistics S.L."
"__export__.res_partner_25_52b5fab5","dev@innovaciones.es","'+34 698 765 432","","Innovaciones Web"
"__export__.res_partner_22_9b440c81","laura.gomez@ejemplo.com","'+34 655 444 333","","Laura Gómez"
"__export__.res_partner_18_30b9a8f7","maria.fernandez@ejemplo.com","'+34 644 555 666","","María Fernández"
"__export__.res_partner_24_fd6e88f4","psanchez@ejemplo.com","'+34 612 345 678","","Pedro Sánchez"
"__export__.res_partner_23_b41675a1","contacto@sistemas.es","'+34 688 777 666","","Sistemas Avanzados"
"__export__.res_partner_17_1fdbc12c","info@techsolutions.es","'+34 611 222 333","","Tech Solutions Ibérica"
