Nombre,Correo electrónico,Telefono,Ciudad,Pais,Es una compañia
Tech Solutions Ibérica,info@techsolutions.es,+34 611 222 333,Sevilla,España,True
María Fernández,maria.fernandez@ejemplo.com,+34 644 555 666,Madrid,España,False
Distribuciones del Sur,ventas@delsur.es,+34 677 888 999,Málaga,España,True
Carlos Ruiz,cruiz.dev@ejemplo.com,+34 699 111 222,Valencia,España,False
Global Logistics S.L.,logistica@global.es,+34 622 333 444,Barcelona,España,True
Laura Gómez,laura.gomez@ejemplo.com,+34 655 444 333,Bilbao,España,False
Sistemas Avanzados,contacto@sistemas.es,+34 688 777 666,Zaragoza,España,True
Pedro Sánchez,psanchez@ejemplo.com,+34 612 345 678,Murcia,España,False
Innovaciones Web,dev@innovaciones.es,+34 698 765 432,Granada,España,True
Elena Torres,etorres.design@ejemplo.com,+34 633 222 111,Alicante,España,False
